CUL3,MARS
IRF3,TBK1
SOX2,FAHD2A
SASS6,ZMYND11
TCF4,ASCL1
HNF1A,APBB3
EDNRB,COPS5
CFH,KRT6A
BRCA1,USP2
HNRNPU,KRT14
TBXA2R,APP
FGFR1OP2,PDCD10
AP2S1,DNAL4
PRSS3,RYR2
IKBKG,NLRP2
PRKDC,NCF4
PPARG,TNP1
NCBP2,EFTUD2
CRY1,RPL5
PAH,LMLN
CDK5RAP2,PGAP2
TP53,CD40LG
PAK3,SYN1
RPF2,HSPA9
DYNC1H1,HAT1
FES,STAT3
NCSTN,SAFB
SPINT2,ATP12A
CCND1,LPL
CXCR1,MTNR1B
GRB2,CNTNAP1
YWHAG,PRKAG2
VCAM1,MYH10
TNFRSF1A,FANCI
TIRAP,STAT3
HNF4A,EXT2
IRF3,TRAF3
ATP2C1,EEF1A1
EGFR,CDC25A
HNF4A,CFL1
NUMA1,RPL5
ESR1,DCHS1
ME1,SLC25A4
MC3R,TSHB
EDN3,EDNRA
SMAD3,BPTF
SIRT7,SPTAN1
RNF31,NFKBIA
ITGB1,TUBA1A
ESR2,MED12
PPARG,MED14
CSNK1G2,SOD1
RARS2,PGM5
C14orf104,ANK2
ENPP6,NDUFB3
PINK1,COPS8
SMC1A,DDX23
RPL10,RPL31
PPP1CC,RB1
MAX,GNS
CA4,PDHB
TAF4B,TNFAIP3
UBC,ALS2
KPNA3,NFKBIA
UBC,SATB2
RAP1GAP,BRAF
E2F4,AP4B1
DBN1,FLNA
CAPN1,AES
SIX1,TLX3
SDHB,SVOP
PARK7,UBC
SMARCB1,POLR3A
CREBBP,PIAS1
GCH1,CDK12
HNF4A,GCKR
INSL3,SCTR
TP53,TNFRSF10A
SMAD4,ESR2
NAAA,NAGLU
UBA52,SMAD2
BCOR,YAF2
GFPT2,SLC25A4
PGAM1,PHGDH
DCC,PTPN11
PAFAH1B1,CCNB2
SOS1,ARHGAP11A
IGKC,SERPIND1
CAV1,FLOT2
HNF4A,CRIPT
GTPBP4,WDR36
EP300,MED31
PKD1,SRC
GABARAPL2,DSP
AP1S3,FTL
CBX5,ACTB
HNF4A,OGFOD1
APOA1,ROBO3
SMC3,TINF2
ECSIT,PSEN2
IRX4,ARHGAP29
SEC16A,ACE
ACLY,SDHA
HNF4A,ZBED3
SOS2,ARHGAP29
RPS16,RPS27
VCP,UBE2M
SMC1A,CENPF
ASF1A,SOD1
STAU1,RPL10
MATR3,SARS2
MYH11,ACTR3
GNB1,PLCB2
HINT1,ENO2
FRAT1,APC
ZC4H2,TOPBP1
PARK2,HK1
HSPA9,EIF4E
PPP2R5D,NIF3L1
ATP2A2,ATP5F1
HNF1A,AIMP1
COL1A1,MMP7
NOP56,RPL5
SPTLC1,UBQLN1
MPV17,NDUFS7
AIRE,XPOT
USO1,GORAB
AMH,NR5A1
E2F4,BARD1
TIAM1,ARHGAP29
NLRP1,TTR
ATAD2,VCP
ARHGAP12,MYO5B
APOE,CACNA1I
GNB1,OR5R1
SNCA,VIM
WAS,GRAP2
ELN,EMILIN1
BRCA2,AURKB
C9ORF64,DPYD
DYNC1I1,PAFAH1B1
RB1,S100A9
ARHGDIA,DHX9
SMAD4,MAP3K7
TBPL2,DNM2
SLC25A4,STIP1
RAD21,ACAT1
KCNQ2,SPTB
VCP,TOM1
ITGA2,CFH
LPAR6,SAA2
CNDP2,GSS
EDN3,TACR3
P2RY10,PROK2
GRB2,SRC
ACSL3,VPS13C
UBC,FXN
MIR33A,NPC1
TCF12,VPS28
SMN1,RPS2
TACR3,TRIO
DIS3,WDR36
NCSTN,TMED10P1
ESR1,HDAC3
TXNL4A,PQBP1
EIF4A3,RPS27
RPS27,PDS5B
BRCA1,CTBP2
SDC2,HPSE2
IL10,KITLG
LCK,HRAS
GNAT2,RHO
CUL3,PRKAR1A
SMAD3,EP300
HSPA9,ATP5C1
SUMO1,ATP6V1B2
ARHGAP26,ACADS
APOA1,CLU
CACNA1A,TSPAN7
LHB,TSHR
PLAGL1,EP300
C3,GPR109B
CXCR4,VAV1
POT1,ANXA4
TPM2,PDLIM7
DCLRE1C,PPP2R5E
ATM,FANCI
RB1,PRKRA
C13orf16,PTS
ILK,PNPLA6
EP300,ABCC9
TNFAIP8,HSPA9
NDUFS8,UCP2
IGFBP7,INS
PPARG,NCOA2
NFKB2,STAT3
FLNA,ANXA6
HNF1A,HACL1
POGZ,TRIM28
SYT1,PPARG
AKAP12,CTNNB1
KRT5,OR3A2
DMD,SGCD
SUV39H2,AP4E1
PEPD,PPP2R2B
POLR3B,RPL30
PFKP,PRPF4
INTS10,RAF1
TRIM63,ATXN3
EIF2C1,PTEN
IKBKG,GFAP
MKRN3,PEX10
CACNA1A,HIVEP1
PDCD6IP,PDGFRB
WDR12,SLC25A4
TCP11,IKBKG
VHL,POLR2A
AKAP9,CEP57
CREBBP,MED7
AP1S2,SH3GL2
BCAR1,SOS1
NMBR,PROKR2
FUS,SF3B1
TMEFF1,KCNJ8
HDAC8,NXF1
POLG,HTRA3
TEX12,RAD21
ACTN4,SACS
EDNRA,ARRB1
BCAP31,BCAP29
CREBBP,MSH6
FUS,IL7R
TGFBR1,CDK17
ITGA2B,VWF
ACTB,EXOC8
TRPV5,STAT3
BMP7,GDF5
PSPH,PSPH
FOXO3,EP300
MSH2,NMD3
HNF4A,PAK1IP1
HNF1A,ITM2B
KRT6A,APOC3
VHL,UBB
ILF2,SSR4
ZBTB24,KRT40
COL4A3,NCAM1
GNAT1,SS18
C20orf185,STAT1
UBC,RPGRIP1L
KEAP1,KLHL3
ESR1,NR2F1
SALL1,EYA1
WAS,SORT1
ITGB3BP,FLNB
KAT2B,NOTCH3
BMPR1A,RIF1
MAPK11,CTNNB1
ZNF232,CFB
HSPA8,BAG3
HEATR5A,PTPN11
OR3A2,GFAP
HNF4A,ABCG8
TMED2,NDUFS8
CUL5,PSMB4
PRKAG3,PRKAA2
BIRC7,XIAP
ARHGEF12,OCRL
MYC,SMC3
GRIA3,GRIN2C
HNRNPK,UPF3B
NDUFS8,RAB5B
ARHGEF7,LRRK2
TP63,RELA
IL1RL1,IRAK4
CASP1,TP53
XIAP,CASP4
LOC730268,PCSK9
SNTA1,AGTR2
SETBP1,SET
IFIH1,DDX3X
APEX1,TP53
UAP1L1,PCBD1
PUS1,IDE
FUS,MAGOH
HSPA8,KCNQ4
RPS4X,UPF3B
GTF2E1,GLUD1
ESR1,NRF1
HSPA9,TIMM50
FAM120C,ZMYND11
RPGRIP1,SRPX
FUS,GTF2F1
PLCG2,SYNJ1
GRIP1,PPFIA2
CSF1R,PDGFRA
MIR708,ZEB2
GJA1,NUP93
HNF1A,HMGB1
INS,CACNA2D2
GRP,TBXA2R
SCT,AVPR2
SEC14L1,ATP7A
PEG3,CFH
PRKAR2B,ATP7A
LOC440926,EGFR
TP63,SFN
GLP2R,INSL3
HNF4A,ORM2
PRKACB,PCNT
PRNP,STIP1
SLC25A19,MSH2
EP300,BAX
RPS6,MTHFD1
COMMD8,CUL3
DIAPH1,GRAP
GRIN2B,ATP1A1
KLK3,CFH
C3,GALR1
PPP3CC,SOD1
STBD1,EPM2A
LPAR6,GPR65
CD2AP,SRC
RYR2,CTSL1
B3GAT2,GPC3
HNF4A,TSN
COL18A1,MMP13
MAX,AP4B1
COQ6,ZBTB16
DCTN1,POP1
SRI,SOD1
SNTA1,ATP2B2
ATP2A2,TMEM33
PTCH2,SSR4
SENP3,EP300
IQCB1,SQRDL
HDAC6,LPAR6
BMPR1A,TMEM43
FLNA,DAB2
IRF2,CIITA
ADRA1A,GNB1
YWHAG,HIVEP2
3-Sep,MTHFD1
CHMP4B,RIMS1
FSHR,RLN2
IQCB1,ALDOA
NCSTN,NCSTN
RGS14,GNA11
SERPINA7,TTR
BMPR1A,JUP
DGKG,KRT14
PDGFRB,ARAF
MYH1,EXT1
RPL5,PABPC4
DYRK1A,RBL2
ANLN,APOB
ITGB6,VTN
MGMT,SLC25A4
PDHA1,BCKDK
TNFRSF1A,SH3KBP1
ADORA2B,ADA
AURKA,DICER1
FSHR,PTGDR
SNTA1,CALM1
GABRB3,PRKACA
MTNR1B,CCL21
IKBKB,SQSTM1
SNW1,PRPF4
SPZ1,SNTA1
APC,DVL2
REL,SYT1
NBN,ATM
TOP2A,CHEK2
RRN3,ACTB
SOX10,SUMO3
SYNCRIP,SYT1
SRP54,RPL10
SOD1,ENO1
IKBKG,SKP1
EFTUD2,PABPN1
MAPT,HSPA8
RANBP3,CRB1
PAX6,PBX1
USP9X,PPP2CB
SHC1,SPTAN1
HNF4A,RABEPK
KRT9,NPHS1
JPH2,CAV3
GRIN2A,RASGRF1
HNF4A,ABHD10
LIN54,TBL1XR1
BPHL,TTC19
MOCOS,APOC3
TBC1D4,YWHAB
RPL27,RPL10
MTHFD1,ENO3
PPARG,ZBTB20
SLX4,SLX1A
SVIP,VCP
RAF1,SS18L2
ACTB,FHOD1
RAD21,CENPO
CDK2,ATR
FNBP1L,SLC25A4
ESR1,EEF2
LDLR,HSPA5
CSF2RB,NRAS
SYT1,PSMC2
ARID1B,ARID1A
BMPR1B,TTC27
THNSL2,PRPF4
ESR1,TRRAP
IKBKE,IKBKG
MSH2,PGK1
HNF4A,AQP6
HLA-DPA1,EFNB1
RB1,KPNA4
PRSS3,TTN
CDIPT,TNFRSF1A
UNK,ATP6V1B2
HSD17B10,VAPA
PPIE,PMM2
IKBKG,TRAF2
ADRB1,GNB1
GYS2,DIAPH1
MARS,CHEK2
NOTCH1,PACSIN2
ITIH1,CFB
UBE2E3,RNF43
RPL5,XPO1
MAPK3,EPOR
ECHS1,VHL
NOTCH3,MAML2
COL1A2,FLNA
INPPL1,RPS19
HNF4A,ARHGAP11A
BRCA1,WDR6
PLCG2,TEC
RPH3A,NRXN1
ESR1,MLL2
MTO1,ATP6V0C
SETD1A,RBBP5
ASPM,ASPM
TCF4,ZNF417
IQCB1,KRT74
SMAD3,USP15
RAD21,NCAPG
COL2A1,LEPRE1
TUBA1A,CXCR1
NFKB2,GTF3C1
ITGB2,IKBKAP
SPAG9,CTNNB1
SMC1A,KIAA1191
MAF,MYB
PEX19,B3GALT6
TPM2,SORBS3
GRIN1,NF1
FLNA,CORO1B
CALML6,SOD1
CHD2,ZNF687
TNFRSF1A,TNFRSF1A
CASR,CCR7
PDLIM7,SPTAN1
ESR1,ARSB
RPL5,UPF3A
VHL,TUBA4A
RXRB,VCP
PSMA2,VCP
NUP210,UPF3B
DCN,COL4A3
CDK19,MED13L
STIP1,ATP6V1B2
BLMH,TRIO
BRCA1,YWHAZ
SET,ZBTB24
PARK7,SREBF2
GCN1L1,CFH
NHEJ1,LIG4
MYH9,MYLK
DPF3,SMARCB1
TGFBR1,WDR61
CTSA,NOX4
SUMO4,VCP
PRLR,STAT1
MYL3,PCYT2
PRKCD,SDC4
STAT5A,PSENEN
VPS35,PRKAB1
SSR4,RPL31
FMO3,CYP3A43
HIST1H1A,LARP7
BBS1,EPAS1
RAD21,HNRNPA3
HSPG2,ECM1
CCNJL,STIL
CBS,MTHFR
GNA11,ADRA1B
CNO,EPB42
INSL3,RLN2
TARDBP,CASP7
PIK3R3,EGFR
CHMP4B,CHMP2B
RAD21,RPS6
MC2R,HRH2
SLC4A1,HBA1
HTRA1,XIAP
CDC14B,TP53
TTC19,TCTEX1D2
ATP6V1B1,ATP6V0D1
RPS27,CDK1
PRKAG3,NGRN
NOTCH1,CTNNB1
GJC2,PHC3
ADCY5,LHB
TUBG2,MYH8
SERPINH1,BRCA2
NFKBIA,NFKBIA
EIF2B2,EIF2S2
SMN1,EEF1A1
ENPP6,GLMN
DPH5,EIF2B2
FURIN,NOTCH2
KRT8,KRT15
ACTB,RPSA
CUL3,RPS24
RPL5,POLR2A
HBQ1,RNF113A
FXYD6,TP53
RPS27,EIF4A1
PPP3CA,SOD1
ABCG8,NUPR1
FGF8,PDPK1
SDHAF2,SUMO2
NTRK1,CDC37
HNF4A,FXC1
RPL29,RPL5
BCAS4,PKD2
EXT2,CRB1
AP1S2,PUM1
TERF1,RYR2
DYRK1A,YWHAE
RAF1,CDC25B
GNB1,DGKI
HNF4A,SOX10
RAD21,UBE2O
NKX2-1,RARA
BTK,WAS
CLTC,DNAJB13
HNF4A,TMEM126B
NOTCH1,MAU2
H2AFZ,ACTB
DOK1,SOS1
TAF1,BCKDHB
HNF4A,REXO2
ANAPC5,PSMA3
SMC3,RPL10A
OPTN,TNIP1
TP53,BNIP3L
NFKB2,POLR2H
ALDH7A1,SCPEP1
SPINT2,PI4K2B
EDNRA,GHSR
SF1,MTOR
ATP6V1G3,ATP6V0A2
APLN,POMC
ADCYAP1R1,PTH1R
YAP1,SUMO1
IKBKB,STAT3
TAF1D,SMARCB1
PPIH,PRPF4
MAPRE1,PCNT
ATP6V1B1,LAMP1
ATP2A2,TMCO1
TGFBR2,PIK3R2
HRAS,FGFR3
CASK,SDC1
USB1,TOMM5
ABCA1,SLC25A34
KRT6B,GJC2
PSENEN,THBD
COMP,APC
RYR2,GABBR1
FGF10,FGF23
GALNT2,NOD2
TRAF3IP2,IKBKG
SMN1,PRSS56
BCL2L1,METTL23
PFN1,VCL
UBE2E1,PSMB9
IKBKG,PCK1
ETS2,CREBBP
SIRT7,PCNT
BCS1L,VAPA
TUB,ABL1
ZNF148,TP53
HNF4A,CCDC94
MRPS31,STAT3
HLCS,BMS1
TP53,GTF2A2
PTEN,PCBP3
FKBP6,TBL1XR1
ERCC3,TUBB4
LMO1,GATA3
RBM28,POLE
SLC13A5,CDS1
PRKCD,ACTB
CXCL2,PLCB1
AES,SIX3
EDN2,LPAR6
KRAS,RASGRP1
HNF4A,FOSL2
UBE3B,CAMK4
SERPIND1,APP
ACVR1C,TGFBR1
NTRK1,RASA1
CEBPA,ZEB2
SMC1A,UBE2I
CUL2,MTHFD1
KEL,TUBA1A
HNF1A,C2
CUL3,CPOX
GABARAP,CSTB
RPS27A,IFIH1
ENPP6,OCRL
GFAP,SERPING1
IKBKG,NAP1L5
TNFAIP3,TRIM8
FUS,SNRPD2
TARDBP,CCNB1
HK1,PLAA
MYEF2,TARDBP
ADAM12,EGFR
EPS15,NECAP1
VAPA,TCIRG1
SPINT2,ASPHD2
CREB3,TTLL5
RFXANK,RAF1
RBM28,ARPC4
TRIM41,IKBKG
PSMB8,PSMB11
GIPC1,RPL5
EPS15,NONO
PRKCD,ZNF131
BCAR1,TUBA1A
MTHFD1,TMEM165
MCHR1,PLCB1
UBC,PGAP1
AAAS,NUP155
CDK5,SRC
EIF2B2,IGF2BP3
PCSK9,PCSK9
COL7A1,COL17A1
FLNA,SORBS2
SMAD3,MDM4
SMN1,EIF3G
PTEN,HBA2
TP63,N4BP2
SOD1,PGM1
NMBR,TAC3
GBA,B4GALT7
POT1,NXNL1
MYH7,TPM2
NCK1,MYO5B
PKD1,MARK2
ALDH18A1,MDH2
PMS2,ABCA2
NTRK1,SORBS1
KPNA4,ASL
CA4,PIH1D1
BMP2,BMPR2
KPNA4,ARG1
ANAPC2,PSMB4
NEUROG1,TCF4
PDGFRB,ADRBK1
HSPA9,TGM2
CUL3,HIST1H4D
UROS,UBQLN4
NAA15,PC
KCNQ4,HSP90B1
PRKAG3,ATP5H
SMAD3,RPL4
TSSC1,CWF19L1
RHOA,SOS1
SH3YL1,ATP7B
PIK3CG,CXCR4
HSPA9,ACTR2
WWOX,HNRNPK
TLX2,SIX1
RIC3,ATP1A3
SPAST,GFAP
SNCA,LRRK2
CYFIP2,WAS
AGTR2,GNRHR
HCRT,PLCB1
EDNRB,PIK3R1
INSR,INSR
SH3GL2,DYRK1A
TNIP1,TBK1
RWDD1,GLUD1
RNF216,UBE2L6
PSMA3,EEF2
KIAA0664,PMM2
SACS,SLC25A13
HSD17B10,ALDOA
EXOSC3,SBDS
ATRX,PTPN4
CRH,ADCY5
XIAP,NFKB1
EP300,CCND1
TBC1D7,IKBKG
PDE6G,SRC
STAT3,CXCR4
PPP1CC,IKBKG
DGKZ,SNTA1
MTSS1,ACTA1
SURF1,PDK1
PLCG2,PLD1
MID1IP1,MID1
KRT16,HP
UBC,SLC9A1
CUL3,HSP90AA1
LDB3,GFAP
AKT2,APOB
SMARCD3,YAP1
EAF1,ASPM
MTNR1B,GPR109A
ING4,CDKN2A
APOE,KRT9
ACTB,ACTG1
UBC,ARHGDIA
STK11,AP2M1
FAS,PEX1
ATP1B1,RPS19
HNF4A,TAF11
GNA11,PRKCB
APOA4,GFAP
FBXW7,MAN1B1
GNB1,OR4D2
GGA3,AP1S2
RNASET2,FBXO2
FLNA,PPP1CC
HNF4A,CDC123
FGF8,FGF19
SOS1,ATP6V1E1
RUNX1,MYH11
SMN1,DOCK1
PRSS3,CRB1
KRT1,SET
HGS,SYNE1
GLI3,WDR89
STX19,STXBP1
EED,EHMT1
TACR3,PROKR1
ZNF232,CFH
EP300,MED4
CDT1,MYLK
FTO,SLC9A3R1
NUAK2,SMAD2
ROR2,MAP3K7
ITGAM,KITLG
CDK1,TUBA1A
CXCR4,OPRM1
CFTR,NPEPPS
CUL3,CDKN2AIP
PPP1CC,TGFBR2
SDHAF2,EEF1A1
PRKCSH,TUBB3
UBC,BRIP1
OR3A2,APOA1
COL4A3,MMP9
UBC,PRPS1
ORC1,ATR
RANGAP1,SMC3
RASGRF1,ARHGAP31
TTR,TLN2
VPS13A,HSPA5
ESR1,CISH
GNB1,OR5K4
C9orf41,BRIP1
BAG2,TBL1XR1
SMC1A,SNRNP40
ARHGAP26,TRIO
AAAS,SNRPB
LPAR6,ND1
MSN,GSS
SLC46A1,LAMC1
LIPA,RECQL4
USF1,CIITA
DYNC1H1,TRAF6
ABCF3,SCN5A
RPS27A,FANCL
CUL3,SEC24A
IKBKG,TLR4
PSMA2,POMP
VPS35,ANP32E
GZMB,GRIA3
WWTR1,CREBBP
UPF3B,SART1
ATP13A2,VAMP2
INS,RPS5
PPP2CB,MID1
HNF1A,NUF2
INSL3,VIL1
NUPR1,ABCG8
APP,BCAP31
UBC,PCNT
NRXN2,CASK
WWOX,CPSF2
NCSTN,WDR18
CUL5,SSR4
CRTAP,COL21A1
PRKCH,SRC
UBC,RARS2
TP53,EGR1
NFATC1,TUBA1A
ING1,TP53
MAP1LC3A,ACTB
CASR,CCL28
NCOA1,RORC
EIF2B5,AGPAT2
PCSK9,ABCD2
LIMK1,SEMA3A
H2AFX,PRKCSH
HSP90AA1,SRC
CDC5L,EFTUD2
ALDH18A1,PROSC
RHOJ,SOS1
ITPK1,TP53
KHDRBS1,NCSTN
RPL5,METAP1
GATA3,EGFR
RPS29,RPL5
HRAS,FRS3
TRIM2,MYO5A
RAF1,BIRC7
APC,LRP8
PYCR2,PYCRL
CUL3,RPL21P16
BCKDK,PMM2
ANXA2,MLH1
ADCY5,PDYN
RBCK1,RIPK1
TNKS2,APC
GABBR1,ATM
ADCY5,GALR2
PYGM,PPP1R2
CCNT2,SMAD3
USP9X,YAP1
IRF3,IRF3
CEP164,NPHP3
KCNQ1,PSMD12
HSPA8,ASL
MYO5B,POLR1C
SIAH1,RUNX1
ENO2,PRKCD
GLI3,AGGF1
LMNA,FOXO1
RPS27,SGOL2
YAP1,KIF5A
SMARCE1,CCNE1
AVPR2,PIK3R6
EIF2B2,KCNAB1
HSPA9,NFKBIB
FSHB,GNB1
ESR1,PSMB9
SLC25A41,STXBP2
IKBKE,DSP
CTNNB1,FRAT1
XRCC5,WRN
PSMA3,EEF1A1
KPNA1,GLUD1
PIK3CA,PDE4D
CAPN1,ASS1
CBS,PRKACG
HSD17B3,NCS1
CDK1,ATP2A2
NR5A1,PCDHB5
MTNR1B,SSTR5
CBX1,NIPBL
WDR48,CRTAP
PHGDH,LOC100506980
USP15,UCHL1
RPS6KB1,EP300
PMS2,COPB1
EGFR,RIN1
ATP8,NDUFB3
HNF4A,YPEL3
AIRE,LMNB1
GFAP,NCOR1
SCN5A,SNTB1
CDC14A,PRDX1
ITM2B,APP
RAP1B,BRAF
NAGK,SPRED1
SMC3,RAE1
GRM1,OPTN
QTRTD1,PALB2
HNF4A,PNMA1
APC,FBXO30
BARD1,ZNF768
ACTG2,TPM2
SNAP29,STX1A
FUS,TP63
RPLP0,RPL10
SLC6A3,UBC
PANK2,DHX36
CRLS1,RPL10
PYGM,MIR1234
RBCK1,UBE2S
CHEK2,DKC1
CUL3,FAM120B
PYGM,RAB7A
MAGED2,TP53
DMD,APOC1
EP300,MED22
NCSTN,SLC1A5
SCRIB,APC
SNCA,FXR2
EIF2B4,SLC25A4
SMC3,PMF1-BGLAP
TP53,MAGEB18
EDN1,PROKR2
CABLES1,SCN5A
NOTCH1,CUL1
YWHAB,OPA1
AURKB,DES
UXT,RUNX1
CFTR,TPM3
AHCY,XIAP
TP53,RNF43
POU5F1,TUBA1A
CUL3,YWHAQ
SMAD2,DCUN1D1
WBP4,PRPF4
WBP4,WAS
CRYAB,HNRNPUL2
STUB1,CFTR
PRKAG2,PPP1R7
HNF4A,GRK4
ADCY5,ADCY6
PSMB2,POMP
RBBP7,SALL2
ARHGDIA,EZR
RASSF2,HRAS
BMPR2,ACVR1
GNA14,TAC3
CXCR4,SST
DCP2,UPF3B
MEN1,PYGM
ARHGDIA,ARHGAP8
DMD,CCNC
FLNB,RSU1
APC,MIR135B
RND1,SEMA3A
SNCA,EIF3G
GTF2F1,PRPF4
HRAS,UBC
RPS2,DNAJC3
CCBL2,ERCC3
IGF1R,PTPN11
IGHM,PIK3CD
SMC1A,SF3B3
SMARCB1,PDE11A
HNF4A,POLD4
RPL5,LDHA
HNF4A,ANKRD13C
PRKAG2,PRDX1
ABCA1,PRPF8
CASR,PIK3R2
CXCR2,PLCB1
MYO5B,ACTB
PAK2,TRIO
BRCA1,TRRAP
ARID4B,RBM28
SCN2B,TUBB3
JUN,RUNX1
PPP2R2A,FOXC1
NIT2,RNASET2
SSR3,RPL10
SMAD2,KAT2B
WDR45,ATG2B
MAX,MSH2
AP1G1,DNM2
RPS19,EIF1B
HNF4A,TRIM15
PAFAH1B1,MAPRE1
PAFAH1B1,TUBA1A
ACADM,PPP2R1B
ARHGAP28,SF3B4
APC2,ALB
STAT1,IRAK1
MMP9,IL8
PCBD1,SAP30
SMC3,CEP170
AURKB,NSUN2
TGFBR1,WDR13
ADAM10,ADAM17
FANCA,FANCL
ASL,ME1
SRSF5,SMN1
APC,RNF146
ACTB,RUVBL2
RNF11,OPTN
HNF4A,KLHL28
C3,GNA13
CXXC1,PCCA
BCKDK,SURF1
STAT1,CXCR4
CTNNA1,DMD
PLAUR,PGAP1
CRY1,GRN
KPNA3,ZBTB24
NR1H2,SMPD1
RAD21,ACD
USP1,FANCB
KRAS,SPTA1
NFKBIA,NKIRAS2
HNF4A,PRRG2
MC3R,RAMP1
CBL,POP1
ITPA,ITPA
USP49,RBCK1
GNB1,OR52E8
CUL4B,HNRNPA1
PRKCSH,PFKL
POU2F1,POLR3B
CUL3,RPL21P19
UBC,NONO
LMNA,KRTAP10-7
SDHB,TIMM50
NUP107,ATP6V1B2
ADAM17,EREG
HNRNPH2,UPF3B
RAD21,CTCF
SMARCA4,PPARG
FLNB,SYNPO
EDEM2,MAN1B1
FUS,HNRNPH1
CCR3,MTNR1B
P2RY6,TAC3
HNF4A,USPL1
ERCC3,POLD1
GNA12,CXCR4
MYPOP,PFN1
SUB1,HNF4A
PCBD1,NUDT18
VCP,CAB39
RPS19,RPS29
SUMO1,SETD1A
EDNRA,GAST
HNF1A,GLA
GAST,PLCB1
SMAD2,SIK3
MAF,SIN3A
KCNMA1,F7
SNAP29,NAPA
BRCA1,POLR2L
LOC440926,PEX6
MBP,SPTAN1
EDNRA,NPSR1
CREBBP,UBTF
MTNR1B,NMU
FBL,ACTB
CTAGE5,APOC3
POMC,TYRP1
RAD21,HIST1H4E
SCN5A,RGS3
AGA,C12orf35
PSMD8,AGPAT2
EDA,CWC27
PTPRK,SCARB2
PAPSS2,SULT2A1
THOC2,GCH1
RRM2B,ATP5C1
PRMT2,SETD1A
SUMO2,ARHGDIA
FLNA,ACTN4
RGS20,PMVK
CLTC,HLA-DPA1
SNCA,CDK4
BMPR1A,GDF5
ARID2,SMARCA4
GOT1,SBDS
EGFR,DNAJC4
RPL10,MLTK
BBS7,ALDOB
ESR1,EPB41L5
MLLT10,SMARCB1
CACNA1A,SCP2
GNB1,UTS2D
C3,NPB
CUL4B,MYEOV2
PRPF4,MEPCE
ZEB2,SMAD2
EIF2S2,FOXE3
GIPR,PTHLH
EIF4A3,KRT14
NMBR,PROK2
HNF1A,CEBPA
NENF,SARS2
EDN2,PROKR2
ETNK1,PRPS1
GNB1,PDPK1
ILF2,ALDH18A1
GNAS,PTGER2
POT1,GPA33
PYGM,SHMT1
ANK2,KCNQ3
ICAM4,ITGB2
VEGFA,EP300
NRAS,RIT2
RRM2B,DDX49
KLRC2,TYROBP
AVPR2,PTH2
CAMK2B,COL4A3
UBE2A,CDKN2A
PCSK9,GALT
STXBP2,SNAP23
CALM1,ATRX
GLI3,EXTL3
EIF4G1,PSMB8
VPS13C,EIF5A
HNF1A,YWHAB
IGBP1,MID1
PSMB4,CEP120
PKD2,DIAPH1
HAX1,DCX
ZMPSTE24,DHODH
SMC1A,SGOL2
F5,SERPINA3
SMAD3,C1orf116
APPBP2,LMX1B
IQCB1,PSMB7
ELAVL1,SATB2
SPCS2,FAM111B
BAG3,BAG3
HNF4A,ZCCHC4
SMC6,KIF1B
TSEN2,MYO5B
DLX3,SSTR5
ZNF423,SMAD4
OBSL1,KRT5
CCNA2,BRCA1
NCBP2,FUS
CUL3,UBE2D1
PHGDH,CBLB
FANCE,FANCB
ANP32B,HNF4A
GABARAP,GLA
PSMA3,HNRNPA2B1
LDHA,PRKCSH
RARS2,CLN3
SLC25A4,ABCE1
PYGM,INPP5K
HTR1E,C3
DNAJC8,EFTUD2
TTN,ANK1
LOC100509457,STAT1
EFTUD2,PTBP1
NKX2-5,TBX5
PORCN,WNT1
NOTCH1,RING1
BMPR1A,SLC16A1
SUPT3H,NUS1
INADL,GRIN2B
HTATSF1,POP1
FANCC,KRT1
KRT1,CCNA2
FGF23,HRAS
EYA1,UBC
CALM3,CAV1
ACTB,NSF
HNF4A,RECQL5
LPAR6,AVPR1A
ACOT13,TRNT1
SMARCE1,GTF2A1
RYR2,TTR
LRRK2,YWHAE
GNRHR,NTS
HNF4A,LDB1
KARS,MGME1
CREBBP,RELA
RBM28,DDX54
COPS4,CUL3
AKT1,SMARCB1
UBC,OPTN
ATP6V0A2,TCIRG1
EEF1A1,ABCC2
INSR,CALM1
HSP90AA1,APOB
TXN,SOD1
RUNX1,CEBPA
TGFB1,ACVRL1
MTHFD1,CDH2
TCHP,KRT5
HCCS,RUVBL1
HNF4A,LRIG2
ARRB2,PDE4D
RB1,UBL4A
RPS6KA3,BARX1
TGFBR1,CTNNB1
XPC,ERCC3
MECP2,CBX1
ATF4,RPS6KA3
ADCY8,TSHR
CRH,PLCB1
RAD23B,TARDBP
ACTB,CPNE4
MYL4,KCNMA1
DIAPH1,ELP2
KRAS,BTF3
AIP,EIF2S3
FLNB,VCP
KRT6B,KRT1
EXT1,CSPG5
DYRK1A,HIST1H3A
SYK,SLC4A1
RPS19,RPS14
PABPC1,ATP6V1B2
CUL3,KLHL17
KCNMA1,HNRNPH2
POLR2G,CDC73
SMAD3,DDX5
OTUB2,TRIM2
ITGA4,CLTC
CYP2C9,CYP2D6
CFTR,SLC9A3R1
HNF4A,CRKL
COMMD1,CFTR
ACLY,VHL
ZEB2,SMAD3
GPAA1,PGAP1
FGFR1,FRS2
FANCM,RPA1
RRM2B,BTF3L4
POFUT1,PACSIN1
PYGB,AGPAT2
PTEN,SUMO3
GRIP1,VDR
APOB,MTTP
ESR1,KRT8
OPHN1,MCF2L
